state,TR
Alabama,2
Alaska,0
Arizona,0
Arkansas,1
California,0
Colorado,0
Connecticut,1
Delaware,2
District of Columbia,0
Florida,2
Georgia,1
Hawaii,2
Idaho,2
Illinois,1
Indiana,2
Iowa,2
Kansas,0
Kentucky,2
Louisiana,2
Maine,1
Maryland,1
Massachusetts,2
Michigan,2
Minnesota,0
Mississippi,1
Missouri,1
Montana,2
Nebraska,2
Nevada,1
New Hampshire,1
New Jersey,1
New Mexico,0
New York,1
North Carolina,2
North Dakota,2
Ohio,1
Oklahoma,2
Oregon,0
Pennsylvania,1
Rhode Island,2
South Carolina,2
South Dakota,2
Tennessee,2
Texas,1
Utah,2
Vermont,0
Virginia,2
Washington,0
West Virginia,2
Wisconsin,0
Wyoming,0
